platform,name,zscore_combined,openssf_badge_tiered_percentage
npm,uglify-js,0.370106214,Not Participating
npm,entities,0.364432005,Not Participating
npm,p-try,0.36107419,Not Participating
npm,parse-json,0.359846813,Not Participating
npm,node-releases,0.359755672,Not Participating
npm,promise,0.353315801,Not Participating
npm,is-stream,0.344609502,Not Participating
npm,serve-static,0.341539239,Not Participating
npm,ieee754,0.338166628,Not Participating
npm,got,0.328976135,Not Participating
npm,to-regex-range,0.318974494,Not Participating
npm,schema-utils,0.318908942,Not Participating
npm,chownr,0.308809082,Not Participating
npm,function-bind,0.30862,Not Participating
npm,read-pkg,0.306862845,Not Participating
npm,has-value,0.291201453,Not Participating
npm,code-point-at,0.28039382,Not Participating
npm,define-properties,0.275903167,Not Participating
npm,type-is,0.273538158,Not Participating
npm,path-parse,0.267275677,Not Participating
npm,lodash.sortby,0.266843815,Not Participating
npm,has,0.266155807,Not Participating
npm,webpack,0.264008181,Not Participating
npm,webidl-conversions,0.255678477,Not Participating
npm,aws4,0.255345228,Not Participating
npm,negotiator,0.250618208,Not Participating
npm,parseurl,0.250403511,Not Participating
npm,@babel/highlight,0.244992381,27
npm,stable,0.243170864,Not Participating
npm,read-pkg-up,0.23911125,Not Participating
npm,strip-json-comments,0.237912759,Not Participating
npm,through2,0.236590858,Not Participating
npm,globby,0.235751567,Not Participating
npm,has-ansi,0.234073007,Not Participating
npm,longest,0.233320112,Not Participating
npm,uri-js,0.231600836,Not Participating
npm,isexe,0.229292504,Not Participating
npm,lodash.assign,0.228687057,Not Participating
npm,convert-source-map,0.224711401,Not Participating
npm,nan,0.223444388,Not Participating
npm,http-signature,0.213542854,Not Participating
npm,sprintf-js,0.20814361,Not Participating
npm,repeat-string,0.207574323,Not Participating
npm,strip-bom,0.20557744,Not Participating
npm,express,0.203735043,15
npm,asn1,0.202616725,Not Participating
npm,oauth-sign,0.202060344,Not Participating
npm,extglob,0.199283847,Not Participating
npm,os-tmpdir,0.198604838,Not Participating
npm,delayed-stream,0.198501955,Not Participating
npm,y18n,0.193061991,Not Participating
npm,path-key,0.190955557,Not Participating
npm,buffer-from,0.189834796,Not Participating
npm,util,0.187098257,Not Participating
npm,caseless,0.178260563,Not Participating
npm,array-flatten,0.176073278,Not Participating
npm,aws-sign2,0.175932278,Not Participating
npm,performance-now,0.173755523,Not Participating
npm,whatwg-url,0.170189148,Not Participating
npm,bn.js,0.165067768,Not Participating
npm,domutils,0.16503166,Not Participating
npm,array-unique,0.16442359,Not Participating
npm,range-parser,0.163158759,Not Participating
npm,ipaddr.js,0.157651159,Not Participating
npm,csstype,0.157153129,Not Participating
npm,pinkie,0.151271708,Not Participating
npm,body-parser,0.148415743,Not Participating
npm,is-callable,0.141397136,Not Participating
npm,shebang-regex,0.141001472,Not Participating
npm,callsites,0.138169769,Not Participating
npm,fresh,0.136535608,Not Participating
npm,vary,0.135246851,Not Participating
npm,tweetnacl,0.133219172,Not Participating
npm,hosted-git-info,0.132096348,Not Participating
npm,tunnel-agent,0.131325056,Not Participating
npm,jsbn,0.130440875,Not Participating
